"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","corpus","freq","zipf","word_length"
"183",953748,44,"low",7,"golfer","No",431.800048828125,431.800048828125,431.800048828125,431.800048828125,"Frequency corpus",704,3.54,6
"184",953748,44,"low",8,"who","No",416,NA,879.90014648438,879.90014648438,"Frequency corpus",423246,6.32,3
"185",953748,44,"low",11,"weekend.","No",288.10009765625,288.10009765625,288.10009765625,288.10009765625,"Frequency corpus",18955,4.97,8
"186",953748,56,"low",3,"barked","No",240,240,240,400,"Frequency corpus",101,2.7,6
"187",953748,56,"low",4,"at","No",NA,NA,NA,111.90014648438,"Frequency corpus",984810,6.69,2
"188",953748,56,"low",7,"nesting","No",784.10009765625,784.10009765625,784.10009765625,1072,"Frequency corpus",801,3.6,7
"189",953748,56,"low",10,"branches","No",464.10009765625,NA,864.10009765625,992.2001953125,"Frequency corpus",1707,3.93,8
"190",953748,55,"low",1,"Vanessa","No",224.199951171875,224.199951171875,224.199951171875,224.199951171875,"Frequency corpus",1479,3.87,7
"191",953748,55,"low",2,"realised","No",NA,NA,NA,160,"Frequency corpus",9784,4.69,8
"192",953748,55,"low",5,"forgotten","No",191.89990234375,191.89990234375,191.89990234375,191.89990234375,"Frequency corpus",6580,4.51,9
"193",953748,55,"low",7,"purse","Yes",NA,NA,NA,752.09985351562,"Frequency corpus",1684,3.92,5
"194",953748,55,"low",8,"when","No",608.09985351562,608.09985351562,608.09985351562,608.09985351562,"Frequency corpus",439946,6.34,4
"195",953748,55,"low",11,"in","No",304,304,304,304,"Frequency corpus",2950040,7.17,2
"196",953748,33,"low",2,"bike","No",NA,NA,NA,448,"Frequency corpus",7590,4.58,4
"197",953748,33,"low",9,"in","No",127.89990234375,127.89990234375,127.89990234375,127.89990234375,"Frequency corpus",2950040,7.17,2
"198",953748,33,"low",11,"mountain","No",175.80004882813,175.80004882813,175.80004882813,175.80004882813,"Frequency corpus",8895,4.64,8
"199",953748,6,"high",1,"During","No",127.89990234375,127.89990234375,127.89990234375,127.89990234375,"Frequency corpus",30343,5.18,6
"200",953748,6,"high",4,"crisis","No",784,784,784,784,"Frequency corpus",14583,4.86,6
"201",953748,6,"high",5,"clever","Yes",624.10009765625,624.10009765625,624.10009765625,624.10009765625,"Frequency corpus",10291,4.71,6
"202",953748,39,"low",5,"a","No",NA,NA,NA,176,"Frequency corpus",4809384,7.38,1
"203",953748,39,"low",6,"nerdy","Yes",NA,NA,NA,223.89990234375,"Frequency corpus",132,2.82,5
"204",953748,39,"low",7,"girl","No",128.199951171875,128.199951171875,128.199951171875,496.199951171875,"Frequency corpus",39601,5.29,4
"205",953748,39,"low",10,"very","No",NA,NA,NA,304,"Frequency corpus",519645,6.41,4
"206",953748,39,"low",14,"studies","No",95.89990234375,95.89990234375,95.89990234375,255.69970703125,"Frequency corpus",2466,4.09,7
"207",953748,37,"low",1,"Sarah","No",NA,NA,NA,287.69995117188,"Frequency corpus",12655,4.8,5
"208",953748,37,"low",2,"always","No",287.89990234375,287.89990234375,287.89990234375,703.89990234375,"Frequency corpus",117021,5.76,6
"209",953748,54,"low",2,"new","No",271.89990234375,271.89990234375,271.89990234375,271.89990234375,"Frequency corpus",191855,5.98,3
"210",953748,54,"low",3,"theory","No",NA,NA,NA,192.10009765625,"Frequency corpus",5599,4.44,6
"211",953748,54,"low",7,"paradox","Yes",NA,NA,NA,432,"Frequency corpus",351,3.24,7
