"","trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","sub"
"3",21,2024.59985351563,2232.39990234375,384.871559143067,958.912500143051,115.558194002151,4.67565740704545,-71.6541481018061,-5.87796449661283,207.80004882812,13
"410",21,2296.59985351563,2424.5,798.215293884277,976.085171699524,18.2762133064267,1.3907911527156,-60.1294231414796,-2.88840651512169,127.90014648437,13
"510",21,2489.69995117188,3112.39990234375,1312.45330810547,980.733225345612,35.9829571838423,2.40007907438228,74.0508174896255,-4.56770539283769,622.69995117187,13
"66",21,3176.59985351563,3432.5,704.047584533691,961.698446273804,31.3902278079992,2.03041033315675,73.389539718628,4.40868258476297,255.90014648437,13
"7",21,3464.5,3624.5,287.862815856933,966.326909065247,12.6563011150361,2.87132718658506,67.0885992050168,-4.44930195808433,160,13
"810",21,3657.89990234375,3768.5,631.868877410888,966.727759838104,6.00019238376567,2.95240298581149,-60.020213127136,2.7006411552432,110.60009765625,13
"97",21,3833.09985351563,3976.5,1258.93877029419,980.069689750672,22.7139349021949,5.84203863715991,76.3390159606953,4.43521499633778,143.40014648437,13
"1110",31,129.5,769.5,139.671316146851,964.244377613067,17.0779606075286,3.15630933666255,-28.0915546417238,-5.08498549461365,640,13
"1210",31,993.5,1185.5,583.753914833068,965.219521522522,10.0411687173842,1.41923210406312,-44.7746992111203,2.99714326858481,192,13
"1310",31,1233.39990234375,1393.5,961.256790161133,976.447849273682,9.26893644332919,3.71278486347182,-37.736339569092,-3.24220061302196,160.10009765625,13
"1410",31,30.599853515625,1585.69995117188,380.42407989502,954.311792850494,61.8986800804147,8.76830712461522,43.4748554229736,6.48944377899176,1555.10009765626,13
"152",17,430.5,622.599853515625,94.3735885620118,965.299773216248,5.38131360626231,3.37155707359247,48.3143043518064,-3.93269777297974,192.099853515625,13
"164",17,798.699951171875,894.5,429.746332168579,961.882692575455,13.6495074920656,2.35604968214027,-68.8181495666503,4.19059753417957,95.800048828125,13
"178",17,974.599853515625,1374.5,1326.48260116577,982.42302775383,39.4703847999576,4.16238413071607,-76.7355918884283,6.17202043533314,399.900146484375,13
"188",17,16.5,1598.69995117188,217.284660339356,950.237495899201,88.6156134910593,12.1219533977512,62.4219322204588,-7.62528419494618,1582.19995117188,13
"1910",1,880.5,928.800048828125,602.660074234009,967.227058410645,3.35507079505904,0.821415395736189,-46.6775465011594,-1.92611575126648,48.300048828125,13
"204",1,976.5,1216.5,997.448959350588,982.635426521301,21.731629829411,1.89825853013925,-38.0478382110595,6.01735353469797,240,13
"21",1,1280.39990234375,1329,246.664028167725,969.641540050506,7.44492625808722,8.60062003898671,40.439348220825,-8.76440763473533,48.60009765625,13
"231",4,17,208.599853515625,713.923106193543,954.615869522095,20.5238049087524,4.65003191900338,-65.7437896728516,-2.84732580184914,191.599853515625,13
"241",4,672.5,752.5,358.700122833252,967.428395748139,10.2361125984196,2.03822046017664,-28.2130908966065,3.16487789154047,80,13
"251",4,816.89990234375,1104.59985351563,939.308681488037,979.20211315155,10.7269116554254,2.84794452524219,52.1053457260138,5.68375110626226,287.69995117188,13
"26",4,1152.59985351563,1393.19995117188,456.340026855469,961.203246116638,24.536389778136,4.57218515396152,-55.0774049758912,-4.07504796981846,240.60009765625,13
"271",35,7.599853515625,120.199951171875,726.629462242127,961.950466632843,5.90099899864146,2.01304035615887,47.9849863052365,3.14230442047125,112.60009765625,13
"281",35,183.5,263.599853515625,344.626455307007,966.922702789307,2.64515693664555,0.382759850263764,58.5220527648927,4.27595615386969,80.099853515625,13
"291",35,727.5,951.5,185.040435791016,952.867369651795,101.876010875702,6.50006172180041,-54.0951347351077,8.54079723358115,224,13
"301",35,1015.59985351563,1159.39990234375,756.720800399781,967.729564905166,10.4940606451033,1.72509958362529,-73.9352035522455,-2.77469158172613,143.80004882812,13
"311",35,1191.39990234375,1367.59985351563,1166.54388427734,978.801369667054,8.76812685012817,2.45918789720485,-81.572723388671,3.28772306442272,176.19995117188,13
"321",35,15.5,1495.69995117188,53.5245704650879,958.523569107056,39.098524486542,11.8595267672534,84.182415008545,-6.01452112197921,1480.19995117188,13
"331",7,1375.69995117188,1423.5,572.856693267822,975.506007671356,21.2938809585576,0.207421703338286,-53.8057899475097,3.57714414596569,47.80004882812,13
"341",7,1456.19995117188,1503.5,957.347526550293,977.333171367646,4.25133898544312,3.53065461015718,-78.2599306106566,3.19845914840687,47.30004882812,13
"351",7,1552,2079.59985351563,1113.23328018189,978.586707115173,198.290030010215,4.72851494693824,-80.4766082763671,4.84816789627007,527.59985351563,13
