"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","Tracker"
"144",2,20,"low",5,"plata","Yes",269.19995117187,269.19995117187,269.19995117187,460.7998046875,"Webcam"
"145",2,77,"high",6,"relación","Yes",128.7001953125,128.7001953125,128.7001953125,224.7001953125,"Webcam"
"146",2,100,"high",5,"preguntas","Yes",242.09985351563,242.09985351563,242.09985351563,242.09985351563,"Webcam"
"147",2,27,"low",4,"cajas","Yes",159.300048828125,159.300048828125,159.300048828125,159.300048828125,"Webcam"
"148",2,75,"high",5,"carácter","Yes",241.7001953125,241.7001953125,241.7001953125,336.2001953125,"Webcam"
"149",2,67,"high",3,"semanas","Yes",207.89990234375,207.89990234375,207.89990234375,207.89990234375,"Webcam"
"150",2,54,"high",6,"sentido","Yes",160,160,160,160,"Webcam"
"151",2,8,"low",8,"caza","Yes",NA,NA,NA,162.7001953125,"Webcam"
"152",2,26,"low",5,"metas","Yes",157.39990234375,157.39990234375,157.39990234375,157.39990234375,"Webcam"
"153",2,25,"low",6,"actos","Yes",143.89990234375,143.89990234375,143.89990234375,143.89990234375,"Webcam"
"154",2,58,"high",3,"persona","Yes",NA,NA,NA,160.10009765625,"Webcam"
"155",2,22,"low",6,"kilos","Yes",209.39990234375,209.39990234375,209.39990234375,337.89990234375,"Webcam"
"156",2,11,"low",4,"primo","Yes",128.10009765625,128.10009765625,128.10009765625,128.10009765625,"Webcam"
"157",2,13,"low",4,"trozo","Yes",157.300048828125,157.300048828125,157.300048828125,349.500244140625,"Webcam"
"158",2,48,"low",5,"ruedas","Yes",227.59985351563,227.59985351563,227.59985351563,227.59985351563,"Webcam"
"159",2,85,"high",3,"hermanos","Yes",191.89990234375,191.89990234375,191.89990234375,191.89990234375,"Webcam"
"160",2,79,"high",5,"realidad","Yes",82.19995117187,82.19995117187,82.19995117187,177.89990234375,"Webcam"
"161",2,7,"low",4,"sopa","Yes",193.30004882813,193.30004882813,193.30004882813,193.30004882813,"Webcam"
"162",2,52,"high",5,"partido","Yes",177.10009765625,177.10009765625,177.10009765625,675.60009765625,"Webcam"
"163",2,61,"high",5,"enlaces","Yes",208.19995117187,208.19995117187,208.19995117187,208.19995117187,"Webcam"
"164",2,84,"high",4,"animales","Yes",95.89990234375,95.89990234375,95.89990234375,95.89990234375,"Webcam"
"165",2,29,"low",5,"citas","Yes",173.89990234375,173.89990234375,173.89990234375,558.09985351563,"Webcam"
"166",2,33,"low",4,"hombro","Yes",239.800048828125,239.800048828125,239.800048828125,239.800048828125,"Webcam"
"167",2,71,"high",3,"ambiente","Yes",160.199951171875,160.199951171875,160.199951171875,543.199707031255,"Webcam"
"168",2,56,"high",6,"familia","Yes",224.10009765625,224.10009765625,224.10009765625,416.30004882812,"Webcam"
"169",2,66,"high",4,"fuerzas","Yes",NA,NA,NA,239.90014648437,"Webcam"
"170",2,15,"low",5,"motor","Yes",126.199951171875,126.199951171875,126.199951171875,126.199951171875,"Webcam"
"171",2,57,"high",5,"mayoría","Yes",269.5,269.5,269.5,269.5,"Webcam"
"172",3,4,"low",4,"lago","Yes",176.39990234375,176.39990234375,176.39990234375,176.39990234375,"Webcam"
"173",3,10,"low",6,"fama","Yes",94.5,NA,174.7998046875,174.7998046875,"Webcam"
"174",3,17,"low",7,"nieve","Yes",527.90014648438,527.90014648438,527.90014648438,527.90014648438,"Webcam"
"175",3,83,"high",3,"estudios","Yes",NA,NA,NA,205.699951171875,"Webcam"
"176",3,14,"low",4,"grano","Yes",560,560,560,560,"Webcam"
"177",3,63,"high",7,"minutos","Yes",160,160,160,160,"Webcam"
"178",3,78,"high",8,"sociedad","Yes",447.499999999995,447.499999999995,447.499999999995,447.499999999995,"Webcam"
"179",3,96,"high",4,"canciones","Yes",272.19995117187,272.19995117187,272.19995117187,272.19995117187,"Webcam"
