"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","Tracker","word_length"
"2295",5,58,"low",6,"libros","No",192.40014648438,192.40014648438,192.40014648438,192.40014648438,"Webcam",6
"2296",5,58,"low",8,"historia.","No",192.19995117187,192.19995117187,192.19995117187,192.19995117187,"Webcam",9
"2297",5,22,"high",3,"fijas","No",336.09985351562,336.09985351562,336.09985351562,336.09985351562,"Webcam",5
"2298",5,22,"high",6,"datos","Yes",320.5,320.5,320.5,320.5,"Webcam",5
"2299",5,22,"high",7,"verás","No",210.89990234375,210.89990234375,210.89990234375,210.89990234375,"Webcam",5
"2300",5,22,"high",9,"no","No",207.89990234374,207.89990234374,207.89990234374,207.89990234374,"Webcam",2
"2301",5,22,"high",10,"te","No",220.39990234374,220.39990234374,220.39990234374,220.39990234374,"Webcam",2
"2302",5,22,"high",11,"estafan.","No",639.89990234375,639.89990234375,639.89990234375,639.89990234375,"Webcam",8
"2303",5,11,"high",2,"llegamos","No",447.900146484375,447.900146484375,447.900146484375,655.499999999995,"Webcam",8
"2304",5,11,"high",4,"señor","Yes",80.10009765625,80.10009765625,80.10009765625,192.20019531251,"Webcam",5
"2305",5,11,"high",6,"saludó.","No",238.199951171875,238.199951171875,238.199951171875,238.199951171875,"Webcam",7
"2306",5,13,"high",2,"veas","No",496,496,496,1022.50024414063,"Webcam",4
"2307",5,13,"high",4,"lugar","Yes",383.89990234375,383.89990234375,383.89990234375,383.89990234375,"Webcam",5
"2308",5,13,"high",6,"encantará.","No",318.69995117187,NA,894.69995117187,894.69995117187,"Webcam",10
"2309",5,48,"high",2,"que","No",207.599853515625,207.599853515625,207.599853515625,530.000000000005,"Webcam",3
"2310",5,48,"high",3,"revisar","No",415.5,NA,991.80004882813,1149.00000000001,"Webcam",7
"2311",5,48,"high",4,"estas","No",176,176,176,258.90014648438,"Webcam",5
"2312",5,48,"high",5,"clases","Yes",219.10009765626,219.10009765626,219.10009765626,219.10009765626,"Webcam",6
"2313",5,48,"high",6,"antes","No",192,192,192,192,"Webcam",5
"2314",5,48,"high",8,"llegar.","No",226.2001953125,226.2001953125,226.2001953125,226.2001953125,"Webcam",7
"2315",5,85,"low",1,"Sorprendentemente","No",399.900146484375,NA,527.80029296875,527.80029296875,"Webcam",17
